method,seed,budget_k,n_features_used,val_f1,test_f1
rfe_tree,,20,8,0.821,0.8056
rfe_tree,,25,8,0.821,0.8056
rfe_tree,,30,8,0.821,0.8056
rfe_tree,,50,8,0.821,0.8056
rfe_tree,,100,8,0.821,0.8056
rfe_tree,,200,8,0.821,0.8056
rfe_tree,,500,8,0.821,0.8056
random,20200,1,1,0.5483,0.5112
random,20200,2,1,0.5483,0.5112
random,20200,3,1,0.5483,0.5112
random,20200,5,1,0.5483,0.5112
random,20200,8,1,0.5483,0.5112
random,20200,10,1,0.5483,0.5112
random,20200,12,1,0.5483,0.5112
random,20200,15,15,0.596,0.5882
random,20200,20,15,0.596,0.5882
random,20200,25,15,0.596,0.5882
random,20200,30,30,0.675,0.7173
random,20200,50,30,0.675,0.7173
random,20200,100,100,0.7094,0.6921
random,20200,200,200,0.7153,0.6765
random,20200,500,500,0.7442,0.7308
fastener,2020,1,1,0.5692,0.5351
fastener,2020,2,2,0.5923,0.59
fastener,2020,3,3,0.6615,0.6516
fastener,2020,5,5,0.798,0.7845
fastener,2020,8,8,0.85,0.8192
fastener,2020,10,8,0.85,0.8192
fastener,2020,12,8,0.85,0.8192
fastener,2020,15,8,0.85,0.8192
fastener,2020,20,8,0.85,0.8192
fastener,2020,25,8,0.85,0.8192
fastener,2020,30,8,0.85,0.8192
fastener,2020,50,8,0.85,0.8192
fastener,2020,100,8,0.85,0.8192
fastener,2020,200,8,0.85,0.8192
fastener,2020,500,8,0.85,0.8192
fastener,2021,1,1,0.5691,0.5595
fastener,2021,2,2,0.6401,0.5766
fastener,2021,3,3,0.688,0.6288
fastener,2021,5,5,0.825,0.8423
fastener,2021,8,6,0.8462,0.8462
fastener,2021,10,6,0.8462,0.8462
fastener,2021,12,6,0.8462,0.8462
fastener,2021,15,6,0.8462,0.8462
fastener,2021,20,6,0.8462,0.8462
fastener,2021,25,6,0.8462,0.8462
fastener,2021,30,6,0.8462,0.8462
fastener,2021,50,6,0.8462,0.8462
fastener,2021,100,6,0.8462,0.8462
fastener,2021,200,6,0.8462,0.8462
fastener,2021,500,6,0.8462,0.8462
fastener,2022,1,1,0.5437,0.532
fastener,2022,2,2,0.6401,0.5766
fastener,2022,3,3,0.6692,0.6863
fastener,2022,5,5,0.8229,0.8576
fastener,2022,8,8,0.8654,0.8115
fastener,2022,10,9,0.8731,0.8481
fastener,2022,12,9,0.8731,0.8481
fastener,2022,15,9,0.8731,0.8481
fastener,2022,20,9,0.8731,0.8481
fastener,2022,25,9,0.8731,0.8481
fastener,2022,30,9,0.8731,0.8481
fastener,2022,50,9,0.8731,0.8481
fastener,2022,100,9,0.8731,0.8481
fastener,2022,200,9,0.8731,0.8481
fastener,2022,500,9,0.8731,0.8481
fastener,2023,1,1,0.5403,0.5472
fastener,2023,2,2,0.5965,0.5863
fastener,2023,3,3,0.6939,0.6904
fastener,2023,5,5,0.8308,0.7654
fastener,2023,8,7,0.848,0.7826
fastener,2023,10,7,0.848,0.7826
fastener,2023,12,7,0.848,0.7826
fastener,2023,15,7,0.848,0.7826
fastener,2023,20,7,0.848,0.7826
fastener,2023,25,7,0.848,0.7826
fastener,2023,30,7,0.848,0.7826
fastener,2023,50,7,0.848,0.7826
fastener,2023,100,7,0.848,0.7826
fastener,2023,200,7,0.848,0.7826
fastener,2023,500,7,0.848,0.7826
fastener,2024,1,1,0.5692,0.5351
fastener,2024,2,2,0.6401,0.5766
fastener,2024,3,3,0.6692,0.6863
fastener,2024,5,5,0.8134,0.74
fastener,2024,8,8,0.8365,0.7865
fastener,2024,10,8,0.8365,0.7865
fastener,2024,12,8,0.8365,0.7865
fastener,2024,15,8,0.8365,0.7865
fastener,2024,20,8,0.8365,0.7865
fastener,2024,25,8,0.8365,0.7865
fastener,2024,30,8,0.8365,0.7865
fastener,2024,50,8,0.8365,0.7865
fastener,2024,100,8,0.8365,0.7865
fastener,2024,200,8,0.8365,0.7865
fastener,2024,500,8,0.8365,0.7865
mrmr,,1,1,0.5691,0.5595
mrmr,,2,1,0.5691,0.5595
mrmr,,3,1,0.5691,0.5595
mrmr,,5,1,0.5691,0.5595
mrmr,,8,1,0.5691,0.5595
mrmr,,10,10,0.5765,0.5211
mrmr,,12,10,0.5765,0.5211
mrmr,,15,10,0.5765,0.5211
mrmr,,20,10,0.5765,0.5211
mrmr,,25,25,0.5807,0.5331
mrmr,,30,25,0.5807,0.5331
mrmr,,50,25,0.5807,0.5331
mrmr,,100,100,0.611,0.619
mrmr,,200,200,0.6518,0.6654
mrmr,,500,500,0.7442,0.7308
relieff,,1,1,0.5437,0.532
relieff,,2,2,0.6054,0.5788
relieff,,3,2,0.6054,0.5788
relieff,,5,5,0.6672,0.6615
relieff,,8,8,0.7096,0.7384
relieff,,10,8,0.7096,0.7384
relieff,,12,8,0.7096,0.7384
relieff,,15,8,0.7096,0.7384
relieff,,20,8,0.7096,0.7384
relieff,,25,8,0.7096,0.7384
relieff,,30,30,0.7327,0.7154
relieff,,50,30,0.7327,0.7154
relieff,,100,30,0.7327,0.7154
relieff,,200,30,0.7327,0.7154
relieff,,500,500,0.7442,0.7308
boruta,,1,1,0.5091,0.509
boruta,,2,1,0.5091,0.509
boruta,,3,3,0.6095,0.6172
boruta,,5,5,0.6692,0.6723
boruta,,8,8,0.7942,0.7865
boruta,,10,10,0.8288,0.8268
boruta,,12,10,0.8288,0.8268
boruta,,15,15,0.8305,0.8385
boruta,,20,15,0.8305,0.8385
boruta,,25,15,0.8305,0.8385
boruta,,30,15,0.8305,0.8385
boruta,,50,15,0.8305,0.8385
boruta,,100,15,0.8305,0.8385
boruta,,200,15,0.8305,0.8385
boruta,,500,15,0.8305,0.8385
hsic_lasso,,1,1,0.5691,0.5595
hsic_lasso,,2,2,0.6054,0.5788
hsic_lasso,,3,2,0.6054,0.5788
hsic_lasso,,5,2,0.6054,0.5788
hsic_lasso,,8,8,0.6653,0.6499
hsic_lasso,,10,10,0.6903,0.6596
hsic_lasso,,12,10,0.6903,0.6596
hsic_lasso,,15,10,0.6903,0.6596
hsic_lasso,,20,10,0.6903,0.6596
hsic_lasso,,25,10,0.6903,0.6596
hsic_lasso,,30,10,0.6903,0.6596
hsic_lasso,,50,10,0.6903,0.6596
hsic_lasso,,100,10,0.6903,0.6596
hsic_lasso,,200,10,0.6903,0.6596
hsic_lasso,,500,10,0.6903,0.6596
nsga2,2020,200,156,0.8346,0.7058
nsga2,2020,500,156,0.8346,0.7058
